Ticker,Bank_Name,First_Date,Last_Date,Total_Records,Avg_Volume,Avg_Close_Price
ABCB,Ameris Bancorp,1994-05-19 00:00:00-04:00,2025-12-10 00:00:00-05:00,7945,138161.50786658275,20.44293681022279
AROW,Arrow Financial Corporation,1980-09-18 00:00:00-04:00,2025-12-10 00:00:00-05:00,11400,21395.66640350877,9.462263048923852
ASB,Associated Banc-Corp,1980-03-17 00:00:00-05:00,2025-12-10 00:00:00-05:00,11529,621137.47957325,9.37077848888434
AXP,American Express,1972-06-01 00:00:00-04:00,2025-12-10 00:00:00-05:00,13495,4950125.625787329,40.73450146058879
BAC,Bank of America,1973-02-21 00:00:00-05:00,2025-12-10 00:00:00-05:00,13315,38722842.125422455,12.81363881260123
BANC,Banc of California,2002-08-23 00:00:00-04:00,2025-12-10 00:00:00-05:00,5863,449093.1093296947,11.875919556589272
BANF,BancFirst Corporation,1990-03-26 00:00:00-05:00,2025-12-10 00:00:00-05:00,8995,49492.36242356865,25.016478882258703
BANR,Banner Corporation,1995-11-01 00:00:00-05:00,2025-12-10 00:00:00-05:00,7577,93452.3592450838,57.71369572209387
BK,Bank of New York Mellon,1973-05-03 00:00:00-04:00,2025-12-10 00:00:00-05:00,13265,3126890.525669054,17.479518898565544
BOKF,BOK Financial,1991-09-05 00:00:00-04:00,2025-12-10 00:00:00-05:00,8629,102298.49947850272,38.091692027977686
BUSE,First Busey Corporation,1998-10-06 00:00:00-04:00,2025-12-10 00:00:00-05:00,6838,85127.16993272887,18.862266647428683
C,Citigroup,1977-01-03 00:00:00-05:00,2025-12-10 00:00:00-05:00,12338,9897880.061436214,77.85015609206789
CADE,Cadence Bank,1985-10-16 00:00:00-04:00,2025-12-10 00:00:00-05:00,10117,417163.69477117725,12.029711678345778
CATY,Cathay General Bancorp,1990-12-14 00:00:00-05:00,2025-12-10 00:00:00-05:00,8811,276228.0104414936,16.87554934675314
CBAN,Colony Bankcorp,1998-04-02 00:00:00-05:00,2025-12-10 00:00:00-05:00,6967,11772.159035452849,9.360185535665527
CBFV,CB Financial Services,2003-10-07 00:00:00-04:00,2025-12-10 00:00:00-05:00,5581,4231.53556710267,14.369873072079615
CBSH,Commerce Bancshares,1980-03-17 00:00:00-05:00,2025-12-10 00:00:00-05:00,11529,357282.4333420071,16.77857443301518
CCBG,Capital City Bank Group,1994-06-06 00:00:00-04:00,2025-12-10 00:00:00-05:00,7934,21398.907864885303,15.632759838101844
CFG,Citizens Financial Group,2014-09-24 00:00:00-04:00,2025-12-10 00:00:00-05:00,2821,5118371.251329316,28.71373323057189
CFR,Cullen/Frost Bankers,1980-03-17 00:00:00-05:00,2025-12-10 00:00:00-05:00,11529,268477.68436117616,31.943675690956052
CHCO,City Holding Company,1987-06-26 00:00:00-04:00,2025-12-10 00:00:00-05:00,9689,40058.351945505216,29.257343416994527
CIVB,Civista Bancshares,1994-04-06 00:00:00-04:00,2025-12-10 00:00:00-05:00,7975,14699.611285266457,11.723102822258928
CMA,Comerica,1980-03-17 00:00:00-05:00,2025-12-10 00:00:00-05:00,11529,1197553.4478272183,22.938953936467076
COF,Capital One,1994-11-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,7819,3479908.3770303107,59.204742968913344
COLB,Columbia Banking System,1992-06-16 00:00:00-04:00,2025-12-10 00:00:00-05:00,8432,367629.7881878558,13.67882219027636
CUBI,Customers Bancorp,2012-03-14 00:00:00-04:00,2025-12-10 00:00:00-05:00,3457,236373.51750072316,29.53005235747585
CVBF,CVB Financial,1983-04-04 00:00:00-05:00,2025-12-10 00:00:00-05:00,10759,324736.7551817083,6.62330300094722
EFSC,Enterprise Financial Services,2003-07-15 00:00:00-04:00,2025-12-10 00:00:00-05:00,5640,72963.1560283688,25.12243871054751
ESQ,Esquire Financial Holdings,2017-06-27 00:00:00-04:00,2025-12-10 00:00:00-05:00,2127,31686.08368594264,37.441471941884714
EVR,Evercore,2006-08-14 00:00:00-04:00,2025-12-10 00:00:00-05:00,4863,352359.11988484475,71.27211727106642
EWBC,East West Bancorp,1999-02-03 00:00:00-05:00,2025-12-10 00:00:00-05:00,6756,848161.2344582593,31.326160473538405
FBNC,First Bancorp,1987-04-30 00:00:00-04:00,2025-12-10 00:00:00-05:00,9729,48330.42193442286,13.643768789908147
FCBC,First Community Bancshares,1994-04-08 00:00:00-04:00,2025-12-10 00:00:00-05:00,7973,25384.13508089803,14.943678927484367
FCNCA,First Citizens BancShares,1986-10-22 00:00:00-04:00,2025-12-10 00:00:00-05:00,9860,23036.906693711968,281.8638352560465
FFBC,First Financial Bancorp,1983-12-21 00:00:00-05:00,2025-12-10 00:00:00-05:00,10576,149757.0628782148,8.593032250425999
FFIN,First Financial Bankshares,1993-11-01 00:00:00-05:00,2025-12-10 00:00:00-05:00,8083,317706.43523444264,11.973086130835847
FHN,First Horizon,1980-03-17 00:00:00-05:00,2025-12-10 00:00:00-05:00,11529,2083592.8033654264,9.536375822278217
FIBK,First Interstate BancSystem,2010-03-24 00:00:00-04:00,2025-12-10 00:00:00-05:00,3955,306771.9595448799,21.569715775732146
FITB,Fifth Third Bancorp,1980-03-17 00:00:00-05:00,2025-12-10 00:00:00-05:00,11529,4231710.210946309,13.83658531731466
FMBH,First Mid Bancshares,1999-03-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,6728,14465.25,19.40910868192541
FRAF,Franklin Financial Network,1994-04-06 00:00:00-04:00,2025-12-10 00:00:00-05:00,7975,3424.906206896552,14.586116907903019
FULT,Fulton Financial Corporation,1985-09-03 00:00:00-04:00,2025-12-10 00:00:00-05:00,10147,602775.2275549424,6.789324601824159
FUNC,First United Corporation,1992-09-03 00:00:00-04:00,2025-12-10 00:00:00-05:00,8376,8096.692812798472,10.925795406672425
GRAN,Great Southern Bancorp,2025-07-01 00:00:00-04:00,2025-12-10 00:00:00-05:00,114,122280.70175438597,3.7278684043047723
GS,Goldman Sachs,1999-05-04 00:00:00-04:00,2025-12-10 00:00:00-05:00,6694,4852987.795040335,171.24736582331775
HAFC,Hanmi Financial Corporation,1994-04-06 00:00:00-04:00,2025-12-10 00:00:00-05:00,7975,98766.14006269592,25.268084544328314
HBAN,Huntington Bancshares,1980-03-17 00:00:00-05:00,2025-12-10 00:00:00-05:00,11529,5776578.500563796,6.207689812840691
HFWA,Heritage Financial Corporation,1998-05-07 00:00:00-04:00,2025-12-10 00:00:00-05:00,6943,76610.7251908397,12.98207633041707
HOMB,Home BancShares,2006-06-23 00:00:00-04:00,2025-12-10 00:00:00-05:00,4898,608309.0712535729,13.384457848372874
HOPE,Hope Bancorp,1998-01-29 00:00:00-05:00,2025-12-10 00:00:00-05:00,7011,399426.82242190844,7.792711699311599
HTBK,Heritage Commerce Corp,1998-07-20 00:00:00-04:00,2025-12-10 00:00:00-05:00,6893,105348.65153053822,7.39131749013538
HWBK,Hawthorn Bancshares,1999-07-20 00:00:00-04:00,2025-12-10 00:00:00-05:00,6641,5630.82171359735,12.531294505722892
HWC,Hancock Whitney,1991-06-04 00:00:00-04:00,2025-12-10 00:00:00-05:00,8694,283153.29652634,21.077203747360684
IBCP,Independent Bank Corporation,1985-09-04 00:00:00-04:00,2025-12-10 00:00:00-05:00,10146,40286.44549576188,34.4760900229574
IBOC,International Bancshares Corporation,1995-08-30 00:00:00-04:00,2025-12-10 00:00:00-05:00,7621,172037.35113502166,20.730127549956688
INDB,Independent Bank Corp,1986-05-14 00:00:00-04:00,2025-12-10 00:00:00-05:00,9972,77848.03951062977,23.258630234429837
JPM,JPMorgan Chase,1980-03-17 00:00:00-05:00,2025-12-10 00:00:00-05:00,11529,11875403.64298725,39.480873540316544
KEY,KeyCorp,1987-11-05 00:00:00-05:00,2025-12-10 00:00:00-05:00,9597,6612949.2056892775,9.622898289036153
KRNY,Kearny Financial Corp,2005-02-24 00:00:00-05:00,2025-12-10 00:00:00-05:00,5233,240681.03936556468,7.015414886075499
LAZ,Lazard,2005-05-05 00:00:00-04:00,2025-12-10 00:00:00-05:00,5184,809835.262345679,25.254980660515066
LION,Fidelity Southern Corporation,2022-03-01 00:00:00-05:00,2025-12-10 00:00:00-05:00,950,636792.8421052631,8.882593678926167
LKFN,Lakeland Financial,1997-08-14 00:00:00-04:00,2025-12-10 00:00:00-05:00,7126,67774.94386752737,22.630481067380977
MBWM,Mercantile Bank Corporation,1999-07-20 00:00:00-04:00,2025-12-10 00:00:00-05:00,6641,32727.135822918237,16.921535233976684
MC,Moelis & Company,2014-04-16 00:00:00-04:00,2025-12-10 00:00:00-05:00,2932,461400.7503410641,32.469156645167246
MS,Morgan Stanley,1993-02-23 00:00:00-05:00,2025-12-10 00:00:00-05:00,8258,9814146.464034876,34.20695571250966
MTB,M&T Bank,1980-03-17 00:00:00-05:00,2025-12-10 00:00:00-05:00,11529,497727.2009714633,50.74971436410147
NAVI,Navient Corporation,2014-04-17 00:00:00-04:00,2025-12-10 00:00:00-05:00,2931,2179251.6888433984,11.407331930740991
NBHC,National Bank Holdings,2012-09-20 00:00:00-04:00,2025-12-10 00:00:00-05:00,3325,183694.46616541353,27.018330313316863
NBTB,NBT Bancorp,1992-03-17 00:00:00-05:00,2025-12-10 00:00:00-05:00,8495,86413.50618010595,16.316981521180406
NWBI,Northwest Bancshares,1994-11-07 00:00:00-05:00,2025-12-10 00:00:00-05:00,7826,376083.72731919243,5.71220723360419
OBT,Orange County Bancorp,2003-10-15 00:00:00-04:00,2025-12-10 00:00:00-05:00,5575,5917.865470852018,11.077058090586299
ONB,Old National Bancorp,1984-06-20 00:00:00-04:00,2025-12-10 00:00:00-05:00,10451,529057.7970529136,9.05813596388014
OZK,Bank OZK,1997-07-17 00:00:00-04:00,2025-12-10 00:00:00-05:00,7146,610560.4114189757,16.522668642458747
PB,Prosperity Bancshares,1998-11-12 00:00:00-05:00,2025-12-10 00:00:00-05:00,6811,345633.65144618996,34.50378204246149
PFBC,Preferred Bank,1999-08-19 00:00:00-04:00,2025-12-10 00:00:00-05:00,6619,38087.566097597824,45.242954864839106
PFS,Provident Financial Services,2003-01-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5763,336784.20961304876,11.82256080341819
PFSI,PennyMac Financial Services,2013-05-09 00:00:00-04:00,2025-12-10 00:00:00-05:00,3168,325169.25505050505,41.8357860461028
PJT,PJT Partners,2015-09-22 00:00:00-04:00,2025-12-10 00:00:00-05:00,2571,177637.53403345,66.71905853497013
PNC,PNC Financial Services,1975-11-17 00:00:00-05:00,2025-12-10 00:00:00-05:00,12622,1471607.6136903819,40.00151771506744
